text,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain,neutralized_text,index
my kids and their school and activities schedule.,0,0,1,0,1,1,1,0,0,my children and their school and activities schedule.,426
my kids are driving me crazy,0,0,0,1,0,1,0,0,0,The children are driving me crazy.,427
my kids spent too much money at the event today,1,0,0,0,0,1,0,0,0,My children spent too much money at the event today.,428
My last semester of college was cancelled and I am sad.,0,0,0,1,1,0,0,0,0,My final semester of college was cancelled and I am sad.,429
My manager is difficult to deal with.  I am stressed so much.  Help I need my friends ..,0,0,0,1,0,0,1,1,0,My manager is difficult to deal with. I am very stressed. I need support from my friends.,430
My mom had her cognitive assessment and they think she might have dementia.,0,0,0,1,0,1,0,0,1,My parent had a cognitive assessment and they think they might have dementia.,431
my mom is not leaving me alone,0,1,0,0,0,1,1,0,0,My parent is not leaving me alone.,432
"my move on wednesday, thanks for asking. you?",0,1,1,0,0,0,0,0,0,"My move on Wednesday, thanks for asking. You?",433
"my new, used car has been costing me a lot of money.",1,1,0,0,0,0,0,0,0,"My new, used car has been costing a lot of money.",434
My partner has been very dismissive towards my feelings lately.,1,0,0,1,0,0,1,0,1,My partner has been very dismissive towards my feelings lately.,435
my partner smokes cigarettes and can't quit. i feel sad for him.,0,0,0,1,0,1,1,0,1,My partner smokes cigarettes and can't quit. I feel sad for them.,436
my proposal deadline is tomorrow and no one is sending me their stuff,0,0,0,0,0,0,0,1,0,My proposal deadline is tomorrow and no one is sending me their materials.,437
my quarantine,1,1,1,1,0,0,1,0,0,my time in isolation,438
my sinuses are really hurting again.,0,1,0,0,0,0,0,0,1,My sinuses are really hurting again.,439
my sister-in-law has been diagnosed with ovarian cancer,0,0,0,1,0,1,0,0,1,My partner's sibling has been diagnosed with ovarian cancer.,440
my skin has been breaking out and i need a regimen that will clear it up.,0,0,0,0,0,0,0,0,1,My skin has been breaking out and I need a regimen that will clear it up.,441
my stress timing is very loss many things.,0,1,1,1,0,0,1,0,0,"My stress timing is very off, causing many issues.",442
my truck broke down last week and i didn't have the money to buy the parts for repair,1,1,0,0,0,1,0,0,0,My vehicle broke down last week and I didn't have the money to buy the parts for repair.,443
my truck won't start,0,1,0,0,0,0,0,0,1,The truck won't start.,444
my workload and my personal wellness or hobbies just don't work out!,0,0,0,1,0,0,1,1,1,My workload and my personal wellness or hobbies just don't work out!,445
my workload is just too much for me to handle.,0,0,0,0,0,0,1,1,0,The workload is just too much to handle.,446
no,0,1,0,0,0,0,0,0,0,no,447
"no money, been cold, christmas coming",1,1,1,0,0,0,0,0,1,"No money, been cold, holiday season approaching",448
No toilet paper on the shelves at Walmart.,1,1,1,0,0,0,0,0,1,No toilet paper on the shelves at the store.,449
"noisy, disrespectful, rude tenants",0,1,1,0,0,0,1,0,0,"noisy, disrespectful, rude individuals",450
Not being able to see my family.,1,0,0,0,1,1,1,1,0,Not being able to see my loved ones.,451
not being able to take a long vacation.,0,1,1,1,0,0,0,0,1,not being able to take an extended vacation.,452
not enough hours at work so not enough money to pay the bills.,1,0,0,0,0,0,0,1,0,"Not enough hours at work, so not enough money to pay the bills.",453
not having enough money to make ends meet,1,0,0,0,1,0,1,0,0,lacking sufficient financial resources to cover basic expenses,454
not having enough time in my day to get everything done and just being forgetful.,0,0,1,0,0,0,0,1,1,Not having enough time in the day to get everything done and just being forgetful.,455
Not knowing if my job is secure.,1,0,0,1,0,0,0,1,0,Uncertainty about job security.,456
Not working because of COVID19,0,0,0,0,0,0,1,1,1,Not working due to illness-related reasons,457
nothing really,0,1,0,0,0,0,0,0,0,nothing really,458
nothing! i'm having a good time right now,0,1,0,0,0,0,0,0,0,Nothing! I am having a good time right now.,459
"oh boy, where to start! i guess my biggest stressor is my boss.",0,1,0,0,0,0,1,1,0,"Oh, where to start! I guess my biggest stressor is my supervisor.",460
"oh my gosh! everything. the washer broke, the dog peed on the bed, and johnie is puking.",1,0,0,1,0,1,0,0,1,"Oh my gosh! Everything. The washer broke, the dog peed on the bed, and someone is puking.",461
"oh, you know, life crap. nothing new, always something stressing me out.",0,1,1,1,0,0,0,0,0,"Oh, you know, life stuff. Nothing new, always something stressing me out.",462
"omg, my kitchen is on fire",1,1,0,0,0,0,0,0,1,"Oh no, the kitchen is on fire.",463
one of my dogs is sick,0,1,0,1,0,1,0,0,1,One of my pets is sick.,464
one of my textbooks may not deliver on time for class.,0,0,0,1,1,0,0,0,0,One of my textbooks may not arrive on time for class.,465
one of my workers had been slacking off.,0,0,0,1,0,0,1,1,0,One of my team members had been slacking off.,466
Online school work has been stressing me out quite a bit.,1,0,0,1,1,0,1,1,0,Online school work has been causing a lot of stress.,467
"Past relationship, work, and pandemic crisis",1,0,0,0,0,0,1,1,0,"Previous relationship, work, and pandemic crisis",468
paying off my debts,1,0,0,0,0,0,0,0,0,paying off debts,469
People are polluting my life with their goofy garbage.,1,0,0,1,0,0,1,0,0,People are polluting my life with their silly garbage.,470
people ask so much of me and i have no time for myself.,0,0,0,1,0,1,1,0,1,"People ask so much of me, and I have no time for myself.",471
physics class. i just don't see why i need to know this stuff.,0,1,0,0,1,0,0,0,0,Physics class. I just don't see why this information is necessary.,472
planning financially for my internship next year,1,0,0,1,0,0,0,1,0,Planning financially for an internship next year,473
planning menus for two different dinner parties in one weekend,0,0,1,0,0,1,1,1,0,Planning menus for two different dinner gatherings in one weekend,474
possibly being short of money,1,0,0,0,0,0,0,0,0,possibly experiencing financial difficulties,475
problem at work and school,0,0,0,0,1,0,0,1,0,problem at work and school,476
problems at home,1,0,0,0,0,1,1,0,0,challenges at home,477
problems with my relationship,0,0,0,1,0,0,1,0,0,challenges in my relationship,478
productivity,1,1,1,0,0,0,1,0,0,productivity,479
reaching my goals at work,0,1,0,0,0,0,0,1,0,achieving goals at work,480
recent days lot of works its kind of stress. need some advice about relaxing,0,0,1,1,0,0,0,1,0,"Recently, there has been a lot of work, which is causing some stress. I need some advice about relaxing.",481
recent situation that has been stressing is the survey without catch.,0,1,0,0,0,0,0,1,0,A recent situation that has been stressful is the survey without catch.,482
recent stock market crash,1,0,1,0,0,0,0,0,0,recent stock market decline,483
Recently I have been super stressed that I'm losing someone who is very special,0,0,0,1,0,1,1,0,0,Recently I have been very stressed about losing someone who is very special.,484
recently my new job has been stressing me out,0,1,0,0,0,1,0,1,0,"Recently, my new job has been causing me stress.",485
recently our money situation is stressing us out. i feel we should downsize.,1,0,0,0,0,0,0,1,0,"Recently, the financial situation has been causing stress. It feels like downsizing might be necessary.",486
relationships,0,1,0,0,0,1,1,0,0,relationships,487
retiring from my job,0,0,0,0,0,0,1,1,0,retiring from their job,488
roommate is driving me crazy,0,1,0,0,0,0,1,0,0,My roommate is driving me crazy.,489
school and work have just been so hectic,0,0,0,0,1,0,0,1,0,School and work have just been so hectic.,490
school has been very stressful right now.,0,0,0,0,1,0,0,0,0,School has been very stressful right now.,491
school have been stressing me out a bit. i have so much papers to write.,0,0,0,0,1,0,0,0,0,School has been stressing me out a bit. I have so many papers to write.,492
"School shutting down and having to design an online class - fast, like.",1,0,0,0,1,0,0,1,1,School shutting down and having to design an online class quickly.,493
"school, homework, work, and social obligations",0,0,0,0,1,0,0,1,0,"school, homework, work, and social obligations",494
"So I have been dealing with my dogs lately, they got into a fight last week",0,1,0,1,0,1,1,0,0,"So I have been dealing with my dogs lately, they got into a fight last week.",495
so much to do,0,1,1,1,0,1,0,1,0,so much to do,496
Social Distancing because of Coronavirus,0,1,1,1,0,0,1,0,1,Social Distancing due to Coronavirus,497
some drama in my wife's family,0,1,0,1,0,1,0,0,0,Some drama in my partner's family,498
some health decisions,1,1,0,1,0,0,0,0,1,some health-related decisions,499
some of my outdoor plants died in the recent cold weather.,0,1,1,0,0,0,0,0,0,Some of the outdoor plants died in the recent cold weather.,500
Staying home from the CV outbreak,0,1,0,1,0,0,1,0,1,Staying home during the outbreak,501
stress is very loss of my business earnings.,1,0,0,0,0,0,0,1,0,Stress is causing a significant loss of my business earnings.,502
stressed about my poor weight loss efforts.,0,0,1,1,0,0,0,0,1,Stressed about my poor weight loss efforts.,503
stressed out about my health not feeling well very congested.,0,0,0,0,0,0,0,0,1,"Stressed about health, not feeling well, very congested.",504
"sup bro, just trying to balance work and social life",0,1,0,0,0,0,1,1,0,"Hey, just trying to balance work and social life.",505
Super stresses about coronavirus and its impact on my job and my finances,1,0,0,0,0,0,0,1,0,Super stressed about coronavirus and its impact on my job and finances.,506
thanks for asking. to much work and so little time..lol,1,1,0,0,0,0,0,1,0,Thanks for asking. Too much work and so little time..lol,507
"thanks for replying, i really need someone to unload on.",0,1,0,1,0,0,0,0,1,"Thanks for replying, I really need someone to talk to.",508
thanks for your concern. lack of money and bills have been pretty stressful to me.,1,0,0,0,0,0,0,1,0,Thanks for your concern. Financial difficulties and bills have been pretty stressful for me.,509
"thanks, i'm just dealing with some stuff.",0,1,1,1,0,0,0,0,0,"Thanks, I'm just dealing with some things.",510
The abrupt stopping of all client calls has me very nervous at this point!!,1,0,0,0,0,0,0,1,0,The abrupt stopping of all client calls has me very concerned at this point.,511
the constant schedule change at my job.,1,0,0,0,0,0,0,1,0,the constant schedule change at my job.,512
The corona virus and quarantine,1,1,0,0,0,0,1,0,1,The coronavirus and quarantine,513
The corona virus has been stressing me out.  It has affected our business.,1,0,0,0,0,0,0,1,0,The coronavirus has been causing stress. It has affected the business.,514
The corona virus is really stressing me out!,0,1,0,1,0,0,1,0,1,The coronavirus is really stressing me out!,515
The coronavirus epidemic is frightening me and causing intense worry to me and my family,0,1,0,1,0,1,0,0,1,The coronavirus epidemic is frightening me and causing intense worry to me and my loved ones.,516
The coronavirus has been stressing me out,0,1,1,1,0,0,1,0,1,The coronavirus has been causing a lot of stress.,517
The coronavirus has been stressing me out because if things get shut down completely i w,1,1,0,1,0,0,0,1,1,"The coronavirus has been causing stress because if things get shut down completely, I will...",518
"The coronavirus is in our town, just got a letter saying a teacher had it!",0,0,1,1,1,0,1,0,1,"The coronavirus is in our town, just received a letter saying a teacher had it!",519
The coronavirus pandemic is taking a toll on me financially.,1,0,0,0,0,0,0,0,0,The coronavirus pandemic is having a financial impact on me.,520
the corono virus - wanting to leave the house but don't want to die,0,1,1,1,0,0,0,0,1,The coronavirus - wanting to leave the house but not wanting to risk health.,521
the cost of my daughter's wedding.,1,0,0,0,0,1,0,0,0,the cost of my child's wedding.,522
The COVID 19 and my job loss,1,1,0,0,0,0,0,1,1,The COVID-19 pandemic and the loss of my job,523
"The COVID issue.  It's stressing me out, it's so difficult to think about anything else.",0,0,1,1,0,0,0,0,1,The COVID issue is stressing me out; it's so difficult to think about anything else.,524
The COVID-19 mess has been stressing me out.,0,1,1,1,0,0,0,0,1,The COVID-19 situation has been stressing me out.,525
the covid-19 pandimic,0,1,0,0,0,0,0,0,1,the COVID-19 pandemic,526
The covid19 virus shutting down our production,1,1,0,1,0,0,0,1,0,The COVID-19 virus shutting down production.,527
THE CURRENT CORONA VIRUS AND THE ECONOMIC IMPACT,1,0,0,1,0,0,0,0,1,THE CURRENT CORONAVIRUS AND THE ECONOMIC IMPACT,528
The current healthcare situation COVID-19,0,1,0,1,0,0,0,0,1,The current healthcare situation regarding COVID-19,529
The currently going corona virus situation.,0,1,0,1,1,0,0,1,1,The current coronavirus situation.,530
the fact that I have been laid off due to the coronavirus with no prospects,1,0,0,0,0,0,0,1,0,The fact that I have been laid off due to the coronavirus with no prospects.,531
the final results of a court case involving my grand kids.,0,0,0,1,0,1,0,0,0,The final results of a court case involving my grandchildren.,532
the holidays are coming up,1,1,1,0,0,1,0,0,0,The holidays are approaching.,533
the holidays coming up lol you?,0,1,0,1,1,0,1,1,0,The holidays are coming up lol you?,534
the insecurity of not having an adequate income.,1,0,0,0,0,0,0,1,0,the insecurity of not having an adequate income.,535
the man in my life!,0,1,0,1,0,0,1,0,0,The person in my life!,536
the management at work is causing a lot of stress on me.,0,0,0,0,0,0,1,1,0,The management at work is causing a lot of stress.,537
the most recent situation stressing me has been my job,0,0,0,1,0,0,0,1,0,The most recent situation causing me stress has been my job.,538
the new assistant at the lab is not really helpful,0,0,0,0,0,0,1,1,0,The new assistant at the lab is not very helpful.,539
the overwhelming thought of being at home during COVID-19,0,1,0,1,0,0,1,0,0,The overwhelming thought of being at home during the COVID-19 pandemic,540
The pandemic situation of covid-19 is really stressing me out. i cant go out,0,0,1,1,0,0,1,0,1,The pandemic situation of covid-19 is really stressing me out. I can't go out.,541
"The pandemic, hoarding, stupidity of people",0,1,0,0,0,0,1,0,1,"The pandemic, hoarding, lack of awareness among people",542
the paper i need to write before school semester ends this year.,0,0,0,0,1,0,0,1,0,the paper I need to write before the school semester ends this year.,543
the ppl at work are driving me nuts,0,0,0,1,0,0,1,1,0,The people at work are driving me nuts.,544
The recent coronavirus outbreak is stressing me out.,0,1,0,1,0,0,0,0,1,The recent coronavirus outbreak is causing me stress.,545
the sale of my house is making lose sleep.,1,0,0,1,0,1,0,0,1,The sale of my house is causing me to lose sleep.,546
The shelves being empty and not being able to find things we need because of coronaviru.,0,1,1,1,0,0,0,0,0,The shelves being empty and not being able to find needed items because of the virus.,547
The stay at home order due to covid 19 virus,0,1,1,0,0,0,1,0,1,The stay-at-home order due to the COVID-19 virus,548
the trump corruption and impeachment with new controversies every day is exhausting,0,1,1,1,0,0,1,0,1,The political corruption and impeachment with new controversies every day is exhausting,549
The virus going around,1,1,0,1,0,0,0,0,1,The virus circulating,550
the whole covid 19 situation,1,1,1,1,0,0,0,0,1,the entire COVID-19 situation,551
the whole decision to leave my job in six months.,1,0,1,1,0,0,0,1,0,the whole decision to leave the job in six months.,552
The whole world right now. Covid Politics,1,1,0,1,0,0,1,0,1,The entire world at this moment. Covid Politics,553
The work here is overwhelming,0,0,0,1,0,0,0,1,0,The work here is overwhelming,554
The world is involved in a global pandemic and we have been told to isolate ourselves,0,1,1,1,0,0,1,0,1,The world is experiencing a global pandemic and people have been advised to isolate themselves.,555
there is not enough time in the day for both work and errands.,1,0,1,1,0,0,0,1,0,There is not enough time in the day for both work and errands.,556
there is not enough to do around here i am worried that i might lose my job,1,0,0,0,0,0,0,1,0,"There is not enough to do around here, and I am worried about possibly losing my job.",557
there's just so much going on at work.,0,0,1,0,0,0,0,1,0,There is just so much going on at work.,558
there's the one guy who keeps calling the desk every few minutes all night.,0,0,0,1,0,0,0,1,0,There's a person who keeps calling the desk every few minutes all night.,559
there's too much to do at work and having the kids home from school is a pain,1,0,0,0,0,1,0,1,0,"There is too much to do at work, and having children home from school is challenging.",560
these people do not care about their workers. they do not want to pay us.,1,0,0,0,0,0,0,1,0,These individuals do not care about their workers. They do not want to pay them.,561
things at work has been getting a little crazy.,0,0,0,1,0,0,0,1,0,Things at work have been getting a little crazy.,562
thinking about work i should be doing,0,1,1,0,1,0,0,1,0,Thinking about work that should be done,563
"This corona virus, with the kids being out of school.  We are now going onto our 3 week.",0,0,0,1,1,1,0,0,1,"This coronavirus, with children being out of school. We are now going into our third week.",564
This coronavirus outbreak and having to leave work has me stressed out.,0,0,0,0,0,0,1,1,1,This coronavirus outbreak and having to leave work has caused stress.,565
This coronavirus pandemic has been driving me crazy,0,1,0,1,0,0,0,0,1,This coronavirus pandemic has been very challenging.,566
This COVID mess in the world,1,1,1,0,0,0,0,1,1,This COVID situation globally,567
this dang corona virus has me stressed,0,0,1,1,0,0,1,0,1,This virus has me stressed.,568
this house remodel. it's a lot to take on alone,1,1,1,0,0,0,1,1,1,This house remodel is a lot to take on alone.,569
this overseas move and trying to figure out how we will move the dogs.,0,1,1,0,0,1,1,0,0,this international move and trying to figure out how we will move the dogs.,570
this stupid girl that likes my boyfriend has been stressing me out,0,0,0,1,0,0,1,0,0,This person who likes my partner has been stressing me out.,571
This virus is stressing me out.,0,1,1,1,0,0,1,0,1,This virus is causing stress.,572
This virus that's going around.  Finding an apartment is hard.  Everything Is expensive,1,0,1,1,0,0,0,0,1,This virus that is spreading makes finding an apartment difficult. Everything is expensive.,573
This whole corona virus thing has me pretty stressed,0,1,0,1,0,0,1,1,1,This whole coronavirus situation has me pretty stressed.,574
"This whole coronavirus mess is stressing me out, not sure whats going to happen",0,0,1,1,0,0,0,0,1,"This whole coronavirus situation is stressing me out, not sure what’s going to happen.",575
This whole Coronavirus thing and being forced to go to work has me very stressed.,1,1,0,0,0,0,1,1,1,This whole Coronavirus situation and being required to go to work has caused a lot of stress.,576
this whole ivf proces,1,0,0,1,0,1,1,0,1,this whole IVF process,577
todd and i are both miserable and i know know how to fix our relationship.,0,0,0,1,0,0,1,0,0,My partner and I are both miserable and I do not know how to fix our relationship.,578
too many tasks at work,0,0,0,1,0,0,0,1,0,Too many tasks at work,579
too many unexpected and unavoidable expenses this past week.,1,0,1,0,0,0,0,0,0,Too many unexpected and unavoidable expenses occurred this past week.,580
traffic!,0,1,0,1,0,1,1,0,0,traffic!,581
Trying to get Easton to do more school work and less wanting to play!,0,0,0,1,1,1,0,0,0,Trying to encourage Easton to focus more on school work and less on playing!,582
Trying to homeschool my son is really stressing me out,0,1,0,0,1,1,1,0,0,Trying to homeschool my child is really stressing me out,583
trying to keep up with my research schedule.,0,1,0,0,1,0,0,0,0,Trying to keep up with my research schedule.,584
trying to save for a down payment on a house,1,1,0,0,0,0,0,0,0,Trying to save for a down payment on a house.,585
"trying to speed up at work, especially with tires.",0,0,0,0,0,0,0,1,0,"Trying to speed up at work, especially with tires.",586
ugh im fucking stressed,1,1,1,1,0,0,1,0,0,"Ugh, I am really stressed.",587
"ugh, just work stress. maybe will help to sleep on it.",0,0,0,1,0,0,0,1,0,"Ugh, just work stress. Maybe it will help to sleep on it.",588
"ugh.  it's so slow at work, so i'm not making much money.",1,0,1,0,0,0,0,1,0,"Ugh. It's so slow at work, so I'm not earning much.",589
UM WELL THE MAUJOR CANT DECIDE WEATHER  OGDEN CITY WILL GO ON LOCKE DOWN OR NOT THTAS ST,0,1,0,1,0,0,0,0,1,UM WELL THE MAJOR CAN'T DECIDE WHETHER OGDEN CITY WILL GO ON LOCKDOWN OR NOT THAT'S ST,590
Upper management just won't listen to my ideas to make things better.,0,1,1,0,0,0,1,1,0,Upper management just won't listen to my ideas to improve things.,591
we got a new guy at work and he is not experienced at all,0,0,0,0,0,0,0,1,0,We got a new person at work and they are not experienced at all.,592
we have been really short-staffed at work recently.,0,0,0,0,0,0,0,1,1,We have been really short-staffed at work recently.,593
well i just found out my soon to be exhusband just had another baby,0,0,0,1,0,1,1,0,0,"Well, I just found out my soon-to-be ex-partner just had another baby.",594
WELL OF COURSE IT WOULD ONLY BE THE CORONUS VIRUS SITUATION GOING ON. BEING SEPARATED FR,0,1,0,1,0,0,1,0,1,WELL OF COURSE IT WOULD ONLY BE THE CORONAVIRUS SITUATION GOING ON. BEING SEPARATED FROM EACH OTHER,595
well the stress of choosing what to eat. i wake up int the morning and find it difficult,0,1,1,0,0,0,0,0,0,The stress of choosing what to eat is challenging. I wake up in the morning and find it difficult.,596
"well, i applied for a master's degree and got denied :(",0,0,0,1,1,0,0,0,0,I applied for a master's degree and was not accepted.,597
"well, i just took a test i did not study for.",0,0,1,0,1,0,0,0,0,"Well, I just took a test I did not study for.",598
"well, we're expecting a new baby soon so that will mean some adjusting for everyone.",0,0,0,0,0,1,1,0,0,"We are expecting a new baby soon, so that will mean some adjusting for everyone.",599
well... my job is very stressful and i feel like i need to find a new one right away.,0,0,0,0,0,0,0,1,0,My job is very stressful and I feel like I need to find a new one right away.,600
we're gearing up for a big move and there's so much to do!,0,1,1,0,0,1,0,1,0,We are preparing for a big move and there is so much to do!,601
We're on lockdown and my husband is overbearing.,0,1,0,1,0,1,1,0,1,We're on lockdown and my partner is overbearing.,602
We've been stressing alot about school for the kids,1,0,0,0,1,1,0,0,1,We've been stressing a lot about school for the children.,603
what a stressful day with my co-worker!  shes so annoying!,0,0,0,0,0,0,1,1,0,What a stressful day with my co-worker! They are so annoying!,604
"What else, the Global Pandemic!",0,1,0,1,0,0,0,0,1,"What else, the worldwide pandemic!",605
When I caught a person talking bad about me,0,1,0,1,0,0,1,0,0,When I heard someone speaking negatively about me,606
when i had to finish my annual report last week.,1,0,0,0,0,0,0,1,0,when I had to finish my annual report recently.,607
whether or not i am going to be paid,1,0,0,0,0,0,0,1,0,Whether or not payment will be received,608
which bot am i talking to?,0,1,0,0,0,0,0,0,0,Which bot am I communicating with?,609
Wondering if my food stamps are gonna stretch until we get more.,1,1,1,0,0,0,0,0,0,Wondering if my food assistance will last until we receive more.,610
work and family balance,0,1,0,0,0,1,1,1,0,work and personal life balance,611
work and school have been insane lately,0,0,0,1,1,0,0,1,0,Work and school have been very busy lately.,612
work has been kinda crazy lately,0,0,0,0,1,0,0,1,0,Work has been quite busy lately.,613
Work has been really stressful lately.,0,0,0,0,0,1,0,1,0,Work has been really stressful lately.,614
work has been slow and that is taking a toll on the bills lately.,1,0,0,0,0,0,0,1,0,"Work has been slow, and that is affecting the bills lately.",615
work has been so stressful,0,0,0,0,0,0,0,1,0,Work has been very stressful.,616
Work has been stressing me out lately due to having to deal with sick customers/,1,1,0,0,0,0,0,1,1,Work has been stressing me out lately due to having to deal with unwell customers.,617
work has been stressing me out lately.,0,0,0,0,0,0,0,1,0,Work has been stressing me out lately.,618
work has been stressing me out. i want to quit my job so badly.,0,0,0,1,0,0,0,1,0,Work has been stressing me out. I want to quit my job so badly.,619
Work has been too crazy. The deadlines are too short and the pressure is high,0,0,0,1,0,0,0,1,0,Work has been very hectic. The deadlines are tight and the pressure is intense.,620
Work is driving me crazy!,0,0,0,0,0,0,0,1,0,Work is driving me crazy!,621
work is killing me,0,0,0,0,0,0,0,1,0,Work is overwhelming me.,622
work is really getting me down.,1,0,0,1,0,0,0,1,0,Work is really getting me down.,623
work is stressful and planning for the upcoming wedding next year!,0,0,0,0,0,1,0,1,0,"Work is stressful, and planning for the upcoming wedding next year!",624
Work pressure in my current project,0,0,0,0,1,0,0,1,0,Work pressure in the current project,625
Work was stressful today,0,0,0,0,0,0,1,1,0,Work was stressful today,626
"work, can't stand these lazy kids i work with.",1,0,0,0,0,0,1,1,0,"Work, can't stand these lazy people I work with.",627
"work, it has been a stressful week! hope it gets better",0,0,0,0,0,1,0,1,0,Work has been stressful this week! Hope it gets better.,628
"work, too much to do and not enough hours in the day to accomplish everything",1,0,0,0,0,1,0,1,1,"Work, too much to do and not enough hours in the day to accomplish everything",629
work. my new boss has limited technical ability.,0,1,0,1,0,0,0,1,0,Work. My new supervisor has limited technical ability.,630
work. work is so stressful. the principal seems to have it out for the staff.,0,0,0,0,1,0,0,1,0,Work is very stressful. The principal seems to have it out for the staff.,631
working long hours with hardly any sleep,0,0,0,0,0,0,0,1,1,working long hours with minimal rest,632
working part time job,0,1,0,0,0,0,0,1,0,working a part-time job,633
Worried about getting the family sick,0,0,0,0,0,1,0,0,1,Worried about spreading illness to loved ones,634
worried about my folks and this virius.,1,0,0,0,0,1,1,0,1,Worried about my family and this virus.,635
worried about paying bills on time,1,0,0,0,0,0,0,1,0,concerned about paying bills on time,636
worrying about money and either i can pay my bills,1,1,0,0,0,0,0,0,1,Worrying about money and whether I can pay my bills.,637
worrying about my high risk family getting sick with the covid 19 virus,1,0,0,0,0,1,0,0,1,Worrying about my high-risk family members getting sick with the virus.,638
You know my daughter lives in NYC and I m concerned about her.,1,1,0,0,0,1,0,0,1,"You know my child lives in a large city, and I am concerned about them.",639
"You know, current events... the world is crazy right now",1,1,1,1,0,0,0,0,0,"You know, current events... things are crazy right now.",640
"Back hurts, stomach hurts, I have a stomach ache.",0,1,0,0,0,0,0,0,1,"Back hurts, stomach hurts, there is a stomach ache.",641
"this entry kinda sucked, but i'm tired, so i'm qoinq to bed.",1,1,0,1,0,0,0,1,0,"This entry wasn’t great, but I’m tired, so I’m going to bed.",642
i was so tired though that i went to bed at 1.,0,1,0,0,0,0,0,0,1,"I was very tired, so I went to bed at 1.",643
"I'm not in a very excited mood at the moment, just tired.",0,1,0,0,0,0,0,0,1,"I am not in a very excited mood at the moment, just tired.",644
but I didn't sleep very well.,0,1,0,0,0,0,0,0,1,I didn't sleep very well.,645
"I am sore, and I am tired.",0,0,0,0,0,0,0,0,1,I am sore and tired.,646
"i'm tired. tired mentally, emotionally and physically",0,0,0,1,0,0,0,0,1,"I’m tired. Tired mentally, emotionally, and physically.",647
"but yeah, now I am feeling way tired, a bit on the sore side and fatigued.",0,0,0,1,0,0,0,0,1,"But yeah, now I am feeling very tired, a bit sore, and fatigued.",648
"i feel like hell. my neck is thick with knots, and i have a tension headache. i`m tired and stuffed up with allergies. and those are merely the physical problems.",0,0,0,1,0,0,0,0,1,"I feel terrible. My neck is tight with knots, and I have a tension headache. I'm tired and congested with allergies. And those are just the physical problems.",649
"food sounds so gross right now, but my stoamch hurts, so i think i have to find something to eat.",0,1,0,0,0,0,0,0,1,"Food sounds unappealing right now, but my stomach hurts, so I think I need to find something to eat.",650
"i'm hungry, but when i try to eat, i start feeling all sick.",0,0,0,0,0,0,0,0,1,"I am hungry, but when I try to eat, I start feeling unwell.",651
"And then when I'm not working or on the go I get so exhausted, that I can hardly move.",0,0,0,1,0,0,0,1,1,"And then when not working or on the go, I get so exhausted that I can hardly move.",652
"Simply because when you're tired you don't think and feel straight, right?",0,1,1,0,0,0,0,0,1,"Simply because when someone is tired, they don't think and feel clearly, right?",653
Then I got injured my foot.,0,0,0,0,0,0,0,0,1,Then I injured my foot.,654
"! I'm in major pain, via my back.",0,0,0,0,0,0,0,0,1,I am experiencing significant pain in my back.,655
"I'm not making the money I could, I'm not in good health.",1,0,0,0,0,0,0,1,1,"I'm not earning as much as I could, and my health is not good.",656
"And now, if you'll excuse me, I need to go make an appointment to get my back checked out, because it's still in pain.",0,0,0,0,0,0,0,0,1,"And now, if you'll excuse me, I need to go make an appointment to get my back checked, because it is still in pain.",657
"After speaking with the doctor, they've decided I strained a back muscle, which apparently is causing these weird symptoms.",0,0,0,0,0,0,0,0,1,"After speaking with the doctor, it was decided that a strained back muscle is causing these unusual symptoms.",658
"i'm still having this unexplained pain, so Dr is going to do more test.",0,0,0,1,0,0,0,0,1,"I am still experiencing this unexplained pain, so the doctor is going to conduct more tests.",659
I guess stress put the pounds on and I have been emotionally eating because of it.,0,0,0,1,0,0,0,0,1,"I guess stress caused weight gain, and I have been emotionally eating because of it.",660
It has been suggested to me that the source of the muscle spasms and pains that I have been having lately is due to stress.,0,0,0,1,0,0,0,0,1,It has been suggested that the source of the muscle spasms and pains experienced lately is due to stress.,661
I am so tired of being sick.,0,0,0,0,0,0,0,0,1,I am so tired of feeling unwell.,662
"I'm tired, and I am tired of being sick and vice versa.",0,0,0,0,0,0,0,0,1,"I'm tired, and I am tired of being unwell and vice versa.",663
"im suddenly ill with an aching body a sore throat and ears and i just dont feel good today. figures, its my day off and i had plans.",0,0,0,1,0,0,0,0,1,"I am suddenly ill with an aching body, a sore throat, and ears, and I just don't feel good today. Figures, it's my day off and I had plans.",664
"So now i'm very tired, and i don't cope well with lack of sleep, it makes me sad.",0,0,1,1,0,0,0,0,1,"I am very tired now, and I don't cope well with lack of sleep; it makes me sad.",665
"It's a real pain when you're trying to rest or sleep, and it's quite disconcerting, they just won't hold still!",0,1,0,0,0,1,0,0,1,"It's really frustrating when trying to rest or sleep, and it's quite disconcerting that they just won't hold still!",666
My body aches from lack of sleep and shitty bed.,1,0,0,1,0,0,0,0,1,My body aches from lack of sleep and an uncomfortable bed.,667
P.S. I've been having trouble sleeping.,0,0,0,0,0,0,0,0,1,P.S. I have been having trouble sleeping.,668
